group,run_name,run_dir,seed,test_acc,test_macro_f1,test_teacher_agreement,dataset_npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs96_seed157,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0034_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs96_seed157,157,0.9298000000000001,0.914045,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs128_seed137,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0035_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs128_seed137,137,0.8482999999999999,0.798962,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_seed143,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0036_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_seed143,143,0.882,0.842004,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs64_seed128,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0037_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs64_seed128,128,0.9129,0.899723,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_seed110,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0038_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0002_bs128_seed110,110,0.8006,0.743684,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs64_seed113,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0039_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs64_seed113,113,0.9354,0.921418,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs64_seed149,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0040_A/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0004_bs64_seed149,149,0.8989,0.874733,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs96_seed145,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0041_B/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00025_bs96_seed145,145,0.8848,0.850218,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024_bs96_seed148,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0042_B/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024_bs96_seed148,148,0.9579000000000001,0.949754,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
ablation1_student_only_tcn_attn,ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_seed114,ablation_experiments/h1/results/run_20260327_131013/ablation1_sweep/trials/trial_0043_B/ablation1_student_only_tcn_attn_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.0003_bs128_seed114,114,0.8315,0.770011,-1.0,Data/processed_data/weld_seam_windows_ws5_tf75_pg0_h1.npz
