Seam_Name,Label,Feat_0_Mean,Feat_1_Mean,Feat_2_Mean,Feat_3_Mean,Feat_4_Mean,Feat_5_Mean,Feat_6_Mean,Feat_7_Mean,Feat_8_Mean,Feat_9_Mean,Feat_10_Mean,Feat_11_Mean,Feat_12_Mean,Feat_13_Mean,Feat_14_Mean,Feat_15_Mean,Feat_16_Mean,Feat_17_Mean
c02,2,1.0356109,0.044506274,0.8645749,-0.21191497,0.95702904,-0.09226467,0.72982347,0.30954355,-0.5918148,0.9046813,0.8561822,0.4024838,-0.040935807,-0.016972255,0.88768613,0.3626813,1.4951496,0.9725836
b01,0,-1.3746628,-0.6374546,-1.5178185,0.5262314,-1.5477532,-0.23712654,-0.41434303,-0.9722473,-1.619086,-1.4452984,-1.7152452,-0.57398534,0.99200916,-3.0397267,-3.6260002,-3.10473,-1.1020935,-1.2818284
b01,2,0.7950784,0.16687493,0.5628806,0.13057108,0.6158474,-0.38970998,0.58870804,-0.0027748942,-0.13932312,1.0358715,0.513586,1.4068694,-0.7769243,0.5032631,0.6827937,0.6140953,0.40753984,0.7335429
a01,2,0.0695824,1.0746547,0.14647368,-1.2071056,0.24949265,0.74261177,-1.1761487,0.87243927,0.22375095,0.5322959,1.0041379,-0.5861396,-0.09544437,0.20835948,0.42240232,0.27569857,0.5930625,0.60997087
b01,1,-0.53933305,-0.24826288,0.14769164,-0.9739804,-0.32671136,-0.40439,-1.141795,1.4763905,0.1660248,-0.83836377,-0.6828071,-0.8405439,0.89264405,0.69900835,-0.21351978,-0.065732256,-0.81716233,-1.3887633
c02,0,-1.2731245,0.9675514,-1.2154398,-0.21658488,-1.1217363,1.0691988,-1.3860185,-0.011556655,-0.09552099,-1.239147,-1.255563,0.29881325,1.260144,-0.3033042,-1.0894941,-0.91800845,-1.032198,-2.1347356
a01,2,0.5575948,1.7971131,0.079368874,-0.6642868,0.38918287,2.3179233,-0.35860586,0.5936905,-0.56122655,1.554591,1.7849706,-0.5093933,-1.9190528,0.025915992,0.5812286,0.15493332,1.5007833,0.928512
b01,0,-1.2688328,-0.5855624,-1.2388681,0.18002863,-1.4263631,-0.62325597,-0.6244189,-0.4769525,-1.1023433,-1.3222328,-1.621246,-0.45351592,0.9979106,-2.7461088,-3.083415,-2.7801788,-0.7931576,-0.7368847
c01,1,-0.7646556,0.65210974,-0.36780506,-0.2531119,-0.39967304,0.84427756,-0.8231355,0.11540409,-1.3540573,-0.8743944,-0.9832479,-0.2658353,0.47815362,-0.6423375,-0.47814432,-0.5462219,0.16555011,0.3393594
b01,0,-1.7056971,-0.948808,-1.7076858,0.54271716,-1.819096,-0.39905182,-0.5679373,-1.0634353,-0.3976944,-1.1883388,-1.6093861,-0.15838084,1.02156,-1.4541899,-1.3636043,-1.9913483,2.798036,1.5672566
