feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,label
-0.7783771217697212,-0.489527324727429,-0.5161297325645975,0.311034240048976,-0.6646039700704567,-0.10056909922024435,-0.21844889943417392,-0.41850235644097333,-1.1839751492408501,-0.8423129770265189,-0.970703458142564,-0.19415413893691366,0.5652287713925019,-0.5169206912558586,-0.5556790083044084,-0.6227084505119288,0.14148954064598862,0.11387320321817371,nonstationary
-0.7783771217697212,-1.4774824709955128,-0.5161297325645975,0.5841357686498861,-0.8120762734322577,-0.969438406258902,0.07479830693161849,-0.6170150264610265,-1.2493913969092096,-0.8844083265133853,-0.9514932004615336,-0.43571450046460714,0.5564977952788904,-0.5169206912558586,-0.5362556719665053,-0.6078897586662324,0.1577660581057274,0.010203803828610305,nonstationary
-0.82411553390124,0.9375189976598033,-0.5161297325645975,-0.14635925560917434,-0.49623074082362184,1.1858715493636502,-0.8130424978359325,-0.013228429132202759,-1.3802238922459287,-0.9416648133743803,-0.9987778066694002,-0.4860001224216902,0.4750075103885363,-0.2660870443513768,-0.4831407914219093,-0.5460051321225629,0.08643582772043362,-0.17122899143062256,nonstationary
-0.6869002975066836,0.8277462036300162,-0.09896662347719239,-0.8114809006779365,-0.11391316636759978,0.8791392560052488,-1.3589394105366757,0.629672508828449,-1.3148076445775692,-0.8454103873308617,-0.9798653824407889,-0.1708778309999453,0.40034763114507815,-0.2660870443513768,-0.2087660231584578,-0.35017722525421063,0.41180356957869324,0.1193998310177582,nonstationary
-0.6869002975066836,0.4984278215406549,-0.7942384719562009,0.900077456880201,-0.7584572924673626,0.8167158919869472,0.6033280450584525,-0.8461897058816815,-1.3802238922459287,-0.8459065556870028,-0.9364738849324002,-0.33914119059466247,0.436036694888065,-1.520255278873786,-1.0401568464479067,-1.1022811300495934,0.5232994587039991,0.48738216325494776,nonstationary
-0.82411553390124,0.608200615570442,-0.3770753628687958,-0.2560785462842713,-0.41378528040133217,0.8547261589096911,-0.8590934410715628,0.058007049397048434,-1.3802238922459287,-0.887300216703015,-1.0862770202265186,0.09473558265123604,0.5808721300452391,-0.5169206912558586,-0.42584684801052874,-0.44074818511708647,-0.18419046544926568,0.4483590882092151,nonstationary
-0.8698539460327588,0.05933664542150652,-0.46977827599933025,-0.06303078530606876,-0.5915726910790708,0.3801419550689441,-0.7591258856375361,-0.1198156239123719,-1.3148076445775692,-0.917828009521111,-1.027100349739919,-0.2796858625464787,0.5798980768652705,-0.5169206912558586,-0.49269610000551295,-0.5222067553673848,-0.08883036719537236,0.23173651542407625,nonstationary
-0.7555079157039618,1.2668373797491645,-0.09896662347719239,-1.0350467453999648,-0.1206368786017932,1.2906648938658452,-1.741846531540787,0.8553462740334677,-1.3802238922459287,-0.8755271378746571,-0.8865229601981153,-0.6342070844819779,0.39361341231308117,-0.39150386780361773,-0.22325534827495555,-0.3156961198998215,0.16566843495282035,0.4099188839818421,nonstationary
-0.7555079157039618,0.8277462036300162,-0.006263710346657924,-1.031750867355781,-0.09055720703579727,0.8607189172479033,-1.7221190670484658,0.8481306290040151,-1.053142653904131,-0.7179264759086442,-0.8748010864636216,-0.061721949133684915,0.47959961682913926,-0.1406702208991359,-0.08386787939747094,-0.18248271544216554,0.17746450206751918,0.37586468992822314,nonstationary
-0.6182926793094053,-0.5993001187572161,-0.3770753628687958,0.19003358712737622,-0.46268822686547884,-0.36773914972741023,-0.14657749191747857,-0.3329688624154575,-1.1185589015724906,-0.7169341351066127,-0.8337709827565556,-0.20875174412351094,0.2725999535848626,-0.39150386780361773,-0.411357522894031,-0.3839284547415729,-0.3999867485292224,-0.17988782904421355,nonstationary
