model_name,model_family,protocol,class_id,class_name,metric,value,source_run_dir
Best Ablation-2,ablation,strict,2,S2,f1,0.97,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/ablation2_teacher_student_lstm/students/ablation2_strict_valf1_20260522/ablation2_strict_valf1_20260522/stage2/s2_s1_l4_o3_c0_r1/ablation2_distill_lstm_weld_seam_windows_ws5_tf75_pg0_h1_ep80_lr0.00024999999999999995_bs128_T3.5_lce0.7_lkd1.4_lf0.3_seed14
Best LSTM baseline,baseline,strict,0,S0,precision,1.0,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_bi_do0.3_ep80_lr0.0001_wd1e-05_bs128_seed42
Best LSTM baseline,baseline,strict,0,S0,recall,0.7308,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_bi_do0.3_ep80_lr0.0001_wd1e-05_bs128_seed42
Best LSTM baseline,baseline,strict,0,S0,f1,0.8444,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_bi_do0.3_ep80_lr0.0001_wd1e-05_bs128_seed42
Best LSTM baseline,baseline,strict,1,S1,precision,0.7717,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_bi_do0.3_ep80_lr0.0001_wd1e-05_bs128_seed42
Best LSTM baseline,baseline,strict,1,S1,recall,0.8554,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_bi_do0.3_ep80_lr0.0001_wd1e-05_bs128_seed42
Best LSTM baseline,baseline,strict,1,S1,f1,0.8114,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_bi_do0.3_ep80_lr0.0001_wd1e-05_bs128_seed42
Best LSTM baseline,baseline,strict,2,S2,precision,0.942,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_bi_do0.3_ep80_lr0.0001_wd1e-05_bs128_seed42
Best LSTM baseline,baseline,strict,2,S2,recall,1.0,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_bi_do0.3_ep80_lr0.0001_wd1e-05_bs128_seed42
Best LSTM baseline,baseline,strict,2,S2,f1,0.9701,/home/huang_kai/wind_turbine_phm/PHOENIX-main/autoencoder_benchmark/ablation_experiments/h1/results/comparison_18d_baselines/lstm/lstm_weld_seam_windows_ws5_tf75_pg0_h1_h64_l2_bi_do0.3_ep80_lr0.0001_wd1e-05_bs128_seed42
