model_name,method_slug,sample_index,seam_name,boundary_type,boundary_distance_bin,start_idx,target_idx,input_step,relative_step,relative_time_s,attention_weight,y_true,y_pred,correct
Teacher,teacher,148,a01,1->2,Near,218,223,0,-5,-0.05,0.18602266907691956,1,1,True
Teacher,teacher,148,a01,1->2,Near,218,223,1,-4,-0.04,0.2071709930896759,1,1,True
Teacher,teacher,148,a01,1->2,Near,218,223,2,-3,-0.03,0.20483028888702393,1,1,True
Teacher,teacher,148,a01,1->2,Near,218,223,3,-2,-0.02,0.20212367177009583,1,1,True
Teacher,teacher,148,a01,1->2,Near,218,223,4,-1,-0.01,0.1998523771762848,1,1,True
Teacher,teacher,282,b01,1->2,Near,284,289,0,-5,-0.05,0.19325768947601318,1,1,True
Teacher,teacher,282,b01,1->2,Near,284,289,1,-4,-0.04,0.1958710104227066,1,1,True
Teacher,teacher,282,b01,1->2,Near,284,289,2,-3,-0.03,0.18920662999153137,1,1,True
Teacher,teacher,282,b01,1->2,Near,284,289,3,-2,-0.02,0.20084472000598907,1,1,True
Teacher,teacher,282,b01,1->2,Near,284,289,4,-1,-0.01,0.22081999480724335,1,1,True
Teacher,teacher,289,c01,1->2,Near,147,152,0,-5,-0.05,0.18601249158382416,1,1,True
Teacher,teacher,289,c01,1->2,Near,147,152,1,-4,-0.04,0.20339742302894592,1,1,True
Teacher,teacher,289,c01,1->2,Near,147,152,2,-3,-0.03,0.20400750637054443,1,1,True
Teacher,teacher,289,c01,1->2,Near,147,152,3,-2,-0.02,0.20132727921009064,1,1,True
Teacher,teacher,289,c01,1->2,Near,147,152,4,-1,-0.01,0.20525529980659485,1,1,True
Teacher,teacher,127,b01,1->2,Near,283,288,0,-5,-0.05,0.1880236119031906,1,1,True
Teacher,teacher,127,b01,1->2,Near,283,288,1,-4,-0.04,0.21143655478954315,1,1,True
Teacher,teacher,127,b01,1->2,Near,283,288,2,-3,-0.03,0.19506490230560303,1,1,True
Teacher,teacher,127,b01,1->2,Near,283,288,3,-2,-0.02,0.20270709693431854,1,1,True
Teacher,teacher,127,b01,1->2,Near,283,288,4,-1,-0.01,0.20276784896850586,1,1,True
Teacher,teacher,236,a01,1->2,Near,217,222,0,-5,-0.05,0.19664669036865234,1,1,True
Teacher,teacher,236,a01,1->2,Near,217,222,1,-4,-0.04,0.20726525783538818,1,1,True
Teacher,teacher,236,a01,1->2,Near,217,222,2,-3,-0.03,0.1977497786283493,1,1,True
Teacher,teacher,236,a01,1->2,Near,217,222,3,-2,-0.02,0.20030398666858673,1,1,True
Teacher,teacher,236,a01,1->2,Near,217,222,4,-1,-0.01,0.19803430140018463,1,1,True
