model_name,sample_index,x_2d,y_2d,y_true,y_pred,correct,seam_name,start_idx,target_idx,projection_method,projection_space,projection_random_state
Teacher,145,8.216963768005371,-2.6862103939056396,2,2,True,b01,545,550,umap,strict_raw_latent,42
Teacher,146,7.2895894050598145,-2.419538736343384,2,2,True,b01,568,573,umap,strict_raw_latent,42
Teacher,147,6.3974385261535645,-7.090893745422363,2,2,True,a01,490,495,umap,strict_raw_latent,42
Teacher,148,-8.718047142028809,-1.7609113454818726,1,1,True,a01,218,223,umap,strict_raw_latent,42
Teacher,149,4.729710102081299,-8.103870391845703,2,2,True,a01,559,564,umap,strict_raw_latent,42
Teacher,150,4.69122314453125,-8.053670883178711,2,2,True,a01,556,561,umap,strict_raw_latent,42
Teacher,151,8.749757766723633,19.11032485961914,0,0,True,b01,140,145,umap,strict_raw_latent,42
Teacher,152,11.298260688781738,15.648417472839355,1,1,True,c01,138,143,umap,strict_raw_latent,42
Teacher,153,13.142074584960938,15.992335319519043,1,1,True,b01,258,263,umap,strict_raw_latent,42
Teacher,154,7.8369669914245605,-1.3891897201538086,2,2,True,c02,226,231,umap,strict_raw_latent,42
Teacher,155,8.131753921508789,-1.303479790687561,2,2,True,c02,218,223,umap,strict_raw_latent,42
Teacher,156,9.928544044494629,17.93446922302246,0,0,True,c02,80,85,umap,strict_raw_latent,42
Teacher,157,7.21045446395874,-2.826245069503784,2,2,True,b01,577,582,umap,strict_raw_latent,42
Teacher,158,9.787774085998535,18.179407119750977,0,0,True,c02,77,82,umap,strict_raw_latent,42
Teacher,159,7.903290271759033,-1.4064518213272095,2,2,True,c02,230,235,umap,strict_raw_latent,42
Teacher,160,6.360448837280273,-7.128265380859375,2,2,True,a01,489,494,umap,strict_raw_latent,42
Teacher,161,-8.872727394104004,-1.9155528545379639,1,1,True,a01,214,219,umap,strict_raw_latent,42
Teacher,162,9.261627197265625,19.68058204650879,0,0,True,a01,87,92,umap,strict_raw_latent,42
Teacher,163,9.28450870513916,19.588098526000977,0,0,True,a01,81,86,umap,strict_raw_latent,42
Teacher,164,8.882363319396973,18.90522003173828,0,0,True,b01,137,142,umap,strict_raw_latent,42
Teacher,165,6.993033409118652,-2.4760653972625732,2,2,True,b01,600,605,umap,strict_raw_latent,42
Teacher,166,8.947796821594238,19.990976333618164,0,0,True,a01,96,101,umap,strict_raw_latent,42
Teacher,167,7.296053886413574,-2.254833936691284,2,2,True,b01,562,567,umap,strict_raw_latent,42
Teacher,168,7.250617027282715,-2.628192186355591,2,2,True,b01,566,571,umap,strict_raw_latent,42
Teacher,169,-8.775200843811035,-1.8180478811264038,1,1,True,a01,216,221,umap,strict_raw_latent,42
Teacher,170,5.574930191040039,-7.853682041168213,2,2,True,a01,538,543,umap,strict_raw_latent,42
Teacher,171,8.80451774597168,18.9610652923584,0,0,True,b01,138,143,umap,strict_raw_latent,42
Teacher,172,5.630966663360596,-7.901795864105225,2,2,True,a01,536,541,umap,strict_raw_latent,42
Teacher,173,4.921415328979492,-8.019674301147461,2,2,True,a01,553,558,umap,strict_raw_latent,42
Teacher,174,11.327637672424316,15.635494232177734,1,1,True,c01,131,136,umap,strict_raw_latent,42
Teacher,175,7.98895788192749,-1.4566463232040405,2,2,True,c02,229,234,umap,strict_raw_latent,42
